Section,Paragraph,Topic
a. Preparing the data for few-shot learning b. Code example of preparing the data and splitting it into train and test datasets,"

Prepare your data
The first step is to prepare your data. As mentioned earlier, the method can work even with less than ten examples per label. So, even if you have 50 different labels, a dataset of 500 rows would be enough. The training time will be less than 5 minutes with a single CPU node of 32 GB!

There is no magic number or hard limit. You can also increase the number of examples per label and evaluate if your model is more accurate. It’s a balance between the training time and the overall performance. But if you can expect a real improvement between 5 and 10 examples per label, there is no guarantee that more means better beyond, depending on how representative of your use case they are and the data you will have during inference.

Testing the performance with 2 or 3 examples per label is also a good exercise. Is it better than zero-shot learning? What’s the improvement? Again, the training time is really low so that you can explore the behaviors. Beyond the number of training samples, their quality is key. 

input_text_col = 'raw_text'
output_label_col = 'category'

df = spark.read.csv(f'/Volumes/{catalog}/{schema}/landing_zone/sample_classif_data.csv', header=True, sep=';') \
         .withColumnRenamed(input_text_col, 'text') \
         .withColumnRenamed(output_label_col, 'label') \
         .select('text', 'label') \
         .toPandas()
          
display(df)
 

As we train a model, we have to provide a training and test dataset, so we split our data. 

# Split train-test
from sklearn.model_selection import train_test_split
train_df, test_df = train_test_split(df, test_size=0.2, random_state=42)

# Convert to dataset (expected input format)
from datasets import Dataset, DatasetDict
train_ds = Dataset.from_pandas(train_df)
test_ds = Dataset.from_pandas(train_df)

ds = DatasetDict()
ds['train'] = train_ds
ds['test'] = test_ds","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Training the few-shot model b. Code example of training the model with the SetFit library,"

Train your model
We can start training the model now that we have our train and test datasets. You will have to provide the sentence transformer, which will be the foundation of your few-shot model, and a few parameters, such as the batch size and the number of epochs. One epoch is often the default choice, as we have only a few input rows. As previously mentioned, the sentence transformer has already been pretrained, and we want to benefit from it. If we increase the number of epochs, it may have a negative effect on the performance.

from setfit import SetFitModel, Trainer, TrainingArguments


# Load sentence transformers from HugginFace
hf_pretained_model = ""sentence-transformers/paraphrase-mpnet-base-v2""
model = SetFitModel.from_pretrained(hf_pretained_model).to(device=device)

# Set training arguments
training_args = TrainingArguments(
    batch_size=16,
    num_epochs=1)

# Create trainer
trainer = Trainer(
    model=model,
    args=training_args,
    train_dataset=train_ds,
    eval_dataset=test_ds,
    metric='accuracy',
)

# Train
trainer.train()","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Evaluating the few-shot model b. Code example of evaluating the model,"

Evaluate your model
The choice of the sentence transformer is essential and will impact the process's overall performance. Try several sentence transformers to evaluate the impact on your final model. A criteria could be the language of the corpus used to train the transformer. However, even if the open source community adds more and more models, there are still many more models in English today. Depending on your use case and your language, it may be a good idea to give a try to an English model and a good starting point to benchmark different models.

# Evaluate
metrics = trainer.evaluate()
print(metrics['accuracy'])","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Logging the few-shot model with MLflow b. Code example of saving the model locally and defining a custom model with MLflow,"

Log the model
We first need to save locally the model in a temporary location.

```
# First, save the finetuned model locally
model.save_pretrained('snapshot')
```

Then, we have to define a custom model with MLflow. Remember that we have two “sub-models”, the sentence transformer and the classifier, which is not the standard expected by MLflow. We could imagine storing each sub-model independently using their respective flavor (transformer and sklearn). Still, it would be less straightforward to infer at the end as we first need to encode our text and then provide the embeddings to the classification head to be classified.

```
from mlflow.pyfunc import PythonModel

class SetFitCustomModel(PythonModel):
  def load_context(self, context):
    self.model = SetFitModel.from_pretrained(context.artifacts['snapshot'])

  def predict(self, context, inputs):
    return self.model(inputs['prompt'])
```","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Performing ML inference with the few-shot model b. Code example of serving the model with Model Serving c. Code example of distributing the inference with Spark,"

Performing ML Inference
The next step is to deploy and serve your model to an endpoint so the model can be used for inference in real-time. We will use MLflow deployment to deploy to the Model Serving of Databricks.

Serve the model with Model Serving
The paraphrase-mpnet-base-v2 model we used above has +100M of parameters, far away from the 70B of LLama2 or 170B of GPT3. This means that the endpoint can be smaller and still have a low latency inference and a reduced cost.

from mlflow.deployments import get_deploy_client

client = get_deploy_client(""databricks"")


endpoint_name = ""fewshot_setfit""
version = ""1""

endpoint = client.create_endpoint(
    name=""fewshot-endpoint"",
    config={
        ""served_entities"": [
            {
                ""entity_name"": f""{catalog}.{schema}.{endpoint_name}"",
                ""entity_version"": version,
                ""workload_size"": ""Small"",
                ""scale_to_zero_enabled"": ""true""
            }
        ],
        ""traffic_config"": {
            ""routes"": [
                {
                    ""served_model_name"": f""{model_name}-{version}"", 
                    ""traffic_percentage"": 100
                }
            ]
        }
    }
)

Distribute your inference with Spark
If the volume of your data increases, you will need to scale out the inference process. Using Spark and the Pandas UDFs, we can distribute the inference to all the available workers in your cluster. It’s fully compatible with the GPU, as we are not operating at the same level. We first use the pandas UDF to distribute the workload over several nodes. Then, each node will independently leverage its own GPU, if any. In short, you can combine the benefits of both the cluster distribution from Spark and the hardware behind the GPU with PyTorch.

import pyspark.sql.types as T
from typing import Iterator
from pyspark.sql.functions import pandas_udf, col

@pandas_udf(returnType=T.StringType())
def predict_iterator(series: Iterator[pd.Series]) -> Iterator[pd.Series]:
  
  device = torch.device(""cuda"" if torch.cuda.is_available() else ""cpu"")

  zshot = pipeline(
    task=""zero-shot-classification"",
    model=""facebook/bart-large-mnli"",
    device=device
  )

  for s in series:
      results = zshot(s.to_list(), candidate_labels=[
                ""politics"",
                ""finance"",
                ""sports"",
                ""science and technology"",
                ""pop culture"",
                ""breaking news"",
            ], multi_label=False)
      output = [result['labels'][0] for result in results]
      yield pd.Series(output)


display(df.select('texts', predict_iterator(col('texts'))))","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Querying the model into SQL with the AI Functions,"

Query the model into SQL with the AI Functions
This endpoint can be directly used in SQL, so data analysts and analytic engineers can use it in their analyses and queries. It fills the gap between data scientists and analysts and increases overall collaboration within the teams.

SELECT text_col, ai_query(""fewshot-endpoint"",
    text_col,
    returnType => ""STRING""
)","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Comparison of CPU and GPU for few-shot learning b. Discussion on the inference time and cost reduction with GPU,"

""When starting to use a GPU, most people think it will cost more than a CPU. We have performed a benchmark using the previous few-shot classification model to compare the inference cost properly. The results are clear: GPU can accelerate the inference time and reduce the overall cost simultaneously. Splitting a dataset per batch of 500 rows, the inference time is reduced by 37x and the cost is reduced by a factor of 16! This comparison has been performed for a 500k rows dataset and 5 candidate labels. The GPU was a g5.2xlarge node and the CPU was a m5.xlarge node.""","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
a. Conclusion on the benefits of using zero-shot and few-shot learning for NLP tasks b. Emphasis on the ease of deploying models in production with Databricks.,"

In this article, we have explored two simple yet efficient classification techniques for implementing LLMs in Databricks. Zero-shot learning is the most straightforward approach without needing to train your model. You can leverage existing open source models and quickly deploy a zero-shot pipeline in production. Additionally, we have also seen the efficiency of the few-shot model being trained with only a few examples per label, utilizing open source models such as BERT. This approach tailors the model to your specific data, with the significant advantage of operating with a small portion of the dataset, thus minimizing training costs and complexity. Those two methods allow you to deploy models in production quickly, eliminating the uncertainties that slow down a project. If you have difficulties forecasting the ROI of a use case, these can be valuable methods to start before jumping into larger LLMs. Most importantly, we have seen that whichever technique you choose to build your model and deploy it into production, this journey would easily be achieved in Databricks. Leveraging the ready environment provided by the Databricks ML Runtime, the central governance solution of Unity Catalog, MLflow components with Model Serving and the AI functions will accelerate your path into production.","Two efficient classification techniques, zero-shot learning and few-shot learning, for implementing large language models (LLMs) in Databricks, and demonstrates how to deploy and serve these models in production using MLflow and Unity Catalog"
"a. Introduction to the use of Large Language Models (LLMs) in healthcare, customer services, financial services, and more b. Explanation of the importance of NLP in parsing through unstructured documents c. Overview of the challenges of using public APIs for processing proprietary data","

Natural Language Processing (NLP) has become a pivotal tool in healthcare, customer services, financial services, and more. NLP is especially useful in parsing through the vast expanses of unstructured documents. Traditionally, utilizing NLP has been a labor-intensive process of data cleansing and feature engineering. The landscape is shifting dramatically with the advent of Large Language Models (LLMs). What sets these models apart is their ability to extract metadata directly from unstructured medical records through prompt engineering, bypassing the conventional processes of feature extraction.","A scalable and secure approach to feature extraction from documents using Large Language Models (LLMs) on a Databricks cluster with Ray, enabling efficient and parallel processing of proprietary data."
a. Explanation of Ray on Databricks and its benefits b. Diagram illustrating the use of Ray on Databricks c. Code example of setting up a Ray cluster on Databricks,"

Ray is an open-source framework that simplifies the process of building and scaling distributed applications. At its core, Ray is designed to handle large-scale, high-performance computing tasks with ease. It provides a simple, flexible API for parallel and distributed computing, making it an ideal choice for applications that require significant computational power and scalability.

ray-databricks.png

Ray is now included as part of the Machine Learning Runtime (MLR) starting from version 15.0 onwards. If an older version of MLR has to be used, Ray can be installed as a python library. Ray runs seamlessly on Databricks clusters, enabling users to build secure and scalable ML products using Databricks Lakehouse. In the diagram above, a Ray dataset loads data from tables in Databricks Lakehouse. The dataset is processed in parallel by actors running on worker nodes of a Databricks cluster. The details of running the actors are defined in the map_batches method. The extracted features can be written out to a table in Lakehouse and ready to be used by ML or reporting applications downstream.

Set up a Ray cluster
from ray.util.spark import setup_ray_cluster, shutdown_ray_cluster

GPUS_PER_NODE = 4
NUM_OF_WORKER_NODES = 8

setup_ray_cluster(
  num_cpus_worker_node=1,
  num_gpus_per_node = GPUS_PER_NODE,
  max_worker_nodes = NUM_OF_WORKER_NODES,
  num_cpus_head_node=1,
  collect_log_to_path=""/dbfs/tmp/raylogs"",
)","A scalable and secure approach to feature extraction from documents using Large Language Models (LLMs) on a Databricks cluster with Ray, enabling efficient and parallel processing of proprietary data."
"a. Implementation of text summarization using LLMs on Databricks b. Code example of creating a TextSummarizer actor class c. Explanation of the three summarization approaches: Stuff, MapReduce, and Refine","

Implementation
This blog post presents a text summarization example, demonstrating the applicability of LLMs in natural language processing tasks. The summarization task is scaled up using Ray on Databricks. However, the approach outlined is not limited to text summarization. The approach enables seamless adaptation to various feature extraction use cases, highlighting the potential of LLMs in extracting valuable insights from unstructured data across diverse applications.

class TextSummarizer:

    def __init__(self,checkpoint=""meta-llama/Meta-Llama-3-8B-Instruct"", verbose=False):
      # Initialize the tokenizer and model on each worker
      print(""Initialize the tokenizer and model on each worker"")
      self.checkpoint = checkpoint
      self.access_token = 'your hf token retrieved from secret scope'
      self.tokenizer = AutoTokenizer.from_pretrained(self.checkpoint, trust_remote_code=True, token=self.access_token)
      self.device = torch.device(""cuda"" if torch.cuda.is_available() else ""cpu"")
      self.model = None
      gpu_ids = ray.get_gpu_ids()
      print(f""allocated gpu ids: {gpu_ids}"")
      self.verbose = verbose

    def _create_model(self):
      if self.model: return
      self.model = AutoModelForCausalLM.from_pretrained(
          self.checkpoint,
          torch_dtype=torch.float16, 
          trust_remote_code=True,
          device_map=""auto"",
          token=self.access_token
      )
      self.model.eval()
   ...
    def __call__(self, batch: Dict[str, np.ndarray]) -> Dict[str, list]:
      import time
      self._create_model()
      summeries = []
      durs = []
      for note in list(batch[""reporttext""]):
        #   print(note)
        start_time = time.time()    
        # pred = self.process_note(note)
        # pred = self.process_note_refine(note)
        pred = self.process_note_no_chunking(note)
        if self.verbose: print(f""### Final summary: {pred}"")
        summeries.append(pred)
        end_time = time.time()
        dur = end_time - start_time
        durs.append(dur)
      batch[""summarized_text""] = summeries
      batch[""dur""] = durs
      return batch","A scalable and secure approach to feature extraction from documents using Large Language Models (LLMs) on a Databricks cluster with Ray, enabling efficient and parallel processing of proprietary data."
a. Creating a Ray dataset and processing it using map_batches b. Code example of creating a Ray dataset and processing it using map_batches c. Discussion of the batch_size parameter and its impact on memory usage and performance,"

Create Ray Dataset
Ray datasets can be created from parquet files or tables in Unity Catalog. The notebooks attached contain code examples for creating parquet files from the current version of a Delta Lake table. A Ray dataset can read from the parquet files and call map_batches() to distribute and process the dataset on worker nodes.

ray_res = ray.cluster_resources()
num_gpus_per_actor = 4
worker_num = int(ray_res['GPU']/num_gpus_per_actor)
print(f""### The number of workers: {worker_num}"")

summarized_ds = ds.map_batches(
  TextSummarizer,
  concurrency=worker_num,
  num_gpus=num_gpus_per_actor,
  batch_size=(ds.count()//worker_num)
)
summarized_pdf = summarized_ds.to_pandas()
The code snippet above first computes the number of actors the Ray cluster actually has. In this example, there is one actor per worker node, so the worker_num is the number of actors. The number of actors is safer to be computed at runtime because sometimes the cluster may not be able to acquire the hard-coded number of workers. If this happens, Ray will keep trying to wait for enough resources and the actors will not be running.

The batch_size parameter controls the number of records assigned to an actor. In the code example, the whole dataset is evenly divided by the number of actors. Adjusting the batch size allows users to balance between memory usage and performance.

Watch out for the warning messages like: Warning: The following resource request cannot be scheduled right now: {'CPU': 1.0, 'GPU': 4.0}. This is likely due to all cluster resources being claimed by actors. Consider creating fewer actors or adding more nodes to this Ray cluster. Review the cluster resources from setup_ray_cluster and check if actor resources specified in map_batches can fit in.","A scalable and secure approach to feature extraction from documents using Large Language Models (LLMs) on a Databricks cluster with Ray, enabling efficient and parallel processing of proprietary data."
a. Discussion of the benefits of using Ray on Databricks for feature extraction from documents b. Explanation of the use of Databricks Lakehouse for storing and managing documents c. Code example of writing extracted features to Delta tables for downstream use,"This blog post presents a scalable, secure and efficient approach to feature extraction from documents leveraging Large Language Models (LLMs). By harnessing the power of Ray on a Databricks cluster, feature extraction tasks are distributed and executed in parallel, ensuring high-performance processing. Documents are stored in the Databricks Lakehouse, providing a centralized and managed data repository, and are loaded into a Ray dataset for processing. The extracted features can then be written to Delta tables, enabling seamless integration with downstream reporting and machine learning applications. This approach demonstrates a streamlined and scalable solution for feature extraction, empowering data scientists and engineers to extract valuable insights from large document collections. Notebooks can be downloaded here.","A scalable and secure approach to feature extraction from documents using Large Language Models (LLMs) on a Databricks cluster with Ray, enabling efficient and parallel processing of proprietary data."
"a. Conclusion on the scalability, security, and efficiency of using LLMs on Databricks for feature extraction b. Link to download notebooks with examples.","This blog post presents a scalable, secure and efficient approach to feature extraction from documents leveraging Large Language Models (LLMs). By harnessing the power of Ray on a Databricks cluster, feature extraction tasks are distributed and executed in parallel, ensuring high-performance processing. Documents are stored in the Databricks Lakehouse, providing a centralized and managed data repository, and are loaded into a Ray dataset for processing. The extracted features can then be written to Delta tables, enabling seamless integration with downstream reporting and machine learning applications. This approach demonstrates a streamlined and scalable solution for feature extraction, empowering data scientists and engineers to extract valuable insights from large document collections. Notebooks can be downloaded here.","A scalable and secure approach to feature extraction from documents using Large Language Models (LLMs) on a Databricks cluster with Ray, enabling efficient and parallel processing of proprietary data. "
a. Understanding billable usage in Databricks Model Serving a. Model and Feature Serving b. Foundation Model APIs (Provisioned Throughput) c. Foundation Model APIs (Pay-per-Token),"Databricks Model Serving now includes three distinct pricing methods. Regardless of the method you choose, the price is inclusive of all cloud infrastructure costs. The three different methods are covered briefly here:

Model and Feature Serving: Choose a compute type (CPU/GPU) and a size that corresponds to a range of concurrent requests that the endpoint can handle. The serverless endpoint will scale seamlessly within this range and you pay for the actual compute allocated. If “scale to zero” is enabled, a $.07 charge per launch is incurred (max 2/hour).
Foundation Model APIs (Provisioned Throughput): For large language model use cases that require consistent, low latency responses with high concurrency. It provides dedicated compute that scales between a configured set range. Databricks only charges for the actual compute used.
Foundation Model APIs (Pay-per-Token): Choose one of the available state-of-the-art Foundation Models and query it directly. Customers pay only for the input and output tokens consumed and produced by the model.","The pricing model and cost monitoring for Databricks Model Serving, a scalable and low-latency hosting service for AI models."
"a. Tracking model serving costs in Databricks a. Using the billable usage system table b. Querying the system.billing.usage table
c. Querying and visualizing Model Serving usage","The best way to track model servings costs in Databricks is through the billable usage system table. Once enabled, the table automatically populates with the latest usage in your Databricks account. No matter which of the three model serving methods you choose, your costs will appear in the system.billing.usage table with column sku_name as either:

<tier>_SERVERLESS_REAL_TIME_INFERENCE_LAUNCH_<region>

which includes all DBUs accrued when an endpoint starts after scaling to zero. All other model serving costs are grouped under: 

<tier>_SERVERLESS_REAL_TIME_INFERENCE_<region>

where tier corresponds to your Databricks platform tier and region corresponds to the cloud region of your Databricks deployment.","The pricing model and cost monitoring for Databricks Model Serving, a scalable and low-latency hosting service for AI models."
a. a. Example query to aggregate model serving DBUs per day b. Visualizing the results c.Cost attribution with custom tags,"

Querying and visualizing Model Serving usage
You can easily query the system.billing.usage table to aggregate all DBUs (Databricks Units) associated with Databricks model serving. Here is an example query that aggregates model serving DBUs per day for the last 30 days:

 

 

SELECT

 SUM(usage_quantity) AS model_serving_dbus,

 usage_date

FROM

 system.billing.usage

WHERE

 sku_name LIKE '%SERVERLESS_REAL_TIME_INFERENCE%'

GROUP BY(usage_date)

ORDER BY

 usage_date DESC

LIMIT 30
 

 

Model Serving DBUs per Day For Last 30 Days","The pricing model and cost monitoring for Databricks Model Serving, a scalable and low-latency hosting service for AI models."
a. a. Applying custom tags to Databricks Model Serving endpoints b. Querying costs based on custom tags c. Visualizing costs based on custom tags,"Cost attribution with custom tags
Aggregated costs may be sufficient for simple use cases, but as the number of endpoints grows it is desirable to break out costs based on use case, business unit, or other custom identifiers. Optional key/value tags can be applied to custom models endpoints. All custom tags applied to Databricks Model Serving endpoints propagate to the system.billing.usage table under the custom_tags column and can be used to aggregate and visualize costs. Databricks recommends adding descriptive tags to each endpoint for precise cost tracking.

Applying Custom Tags
Applying Custom Tags

Below is an example query that separates model serving costs by values of a specific tag for the Databricks account over the last 30 days.

 

 

SELECT

 value,

 SUM(usage_quantity) AS DBUs

FROM

 (

   SELECT

     usage_date,

     usage_quantity,

     -- Use the built in EXPLODE() function to create a new row per tag.

     EXPLODE(custom_tags)

   FROM

     system.billing.usage

   WHERE

     sku_name LIKE '%SERVERLESS_REAL_TIME_INFERENCE%'

     AND usage_date > DATE_SUB(CURRENT_DATE(), 30)

   ORDER BY

     usage_date DESC

 )

WHERE

 key = {{ filter_key }}

GROUP BY

 value

ORDER BY

 DBUs DESC
 

 

Running the query in the Databricks SQL Editor breaks out model serving costs by value of the tag over the past month:

DBUs by Endpoint Owner Over Past 30 Days
DBUs by Endpoint Owner Over Past 30 Days","The pricing model and cost monitoring for Databricks Model Serving, a scalable and low-latency hosting service for AI models."
a. Conclusion: The potential for further exploration and visualization in Databricks,This is just the start of what you can view and visualize using the system.billing.usage tables in Databricks! Stay tuned as Databricks plans to roll out additional tables and metrics within the system catalog.,"The pricing model and cost monitoring for Databricks Model Serving, a scalable and low-latency hosting service for AI models."
